cluster_id,0% Greek Strained Yogurt,100% Whole Wheat Bread,2% Reduced Fat Milk,Apple Honeycrisp Organic,Baby Cucumbers,Bag of Organic Bananas,Banana,Beer,Blueberries,Clementines,Coke Classic,Cola,Crunchy Oats 'n Honey Granola Bars,Cucumber Kirby,Diet Coke,Distilled Water,Energy Drink,Extra Fancy Unsalted Mixed Nuts,Fat Free Milk,Fridge Pack Cola,Grapefruit Sparkling Water,Hass Avocados,India Pale Ale,Large Lemon,Limes,Michigan Organic Kale,Mineral Water,Mixed Fruit Fruit Snacks,Natural Spring Water,Organic 2% Reduced Fat Milk,Organic Avocado,Organic Baby Spinach,Organic Blueberries,Organic Fuji Apple,Organic Garlic,Organic Half & Half,Organic Hass Avocado,Organic Raspberries,Organic Strawberries,Organic Whole Milk,Organic Yellow Onion,Organic Zucchini,Original Nooks & Crannies English Muffins,Packaged Grape Tomatoes,Popcorn,Purified Water,Raspberries,"Select-A-Size Paper Towels, White, 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins",Smartwater,Soda,Sparkling Mineral Water,Sparkling Water,Sparkling Water Grapefruit,Spring Water,Strawberries,Sweet Kale Salad Mix,Trail Mix,Ultra Soft Facial Tissues,White Giant Paper Towel Rolls,Whole Milk,Zero Calorie Cola
0,0.0,0.0,0.0,0.0,0.0,0.002137240704749565,0.0,1.0,0.0,0.044521258209471136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15706434189330049,0.3723640399556049,0.46030589949016754,0.0,0.1824297586070439,0.0,0.0,0.19596320899335717,0.0,0.0,0.0,0.5562913907284768
1,0.0,0.0,0.0,0.0,0.0,0.05452027996900525,0.04943071787568476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11561902291957078,0.13181222831760978,0.0,0.0,0.0,0.0,0.0,0.07957437896703934,0.07826387517282243,0.0,0.0,0.0,0.0,0.07683015072911684,0.0,0.05871653787336087,0.0784031909441362,0.17539385244812838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.12183555847377253,0.14354120267260578,0.0,0.0,0.0056050963504947725,0.022884312528727836,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3796088489900609,0.18604079626443842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278859453133312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03501977999966616,0.0,0.0,0.0,0.0,0.3839235525576166,0.0
3,0.0,0.0,0.0,0.0,0.0,0.023300052081348527,0.020194256693115115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13192747846213193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022658439926539292,0.0220718941339127,0.0,0.0,0.0,0.0,0.01625029127880594,0.0,0.017893886509472785,0.024578291775296923,0.0,0.0,0.0,0.0,0.0,0.0,0.14403409090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055634378807858584,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.513292737264221,0.0,0.07620390483086265,0.0613789864191112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07148725714469827,0.07322733557179538,0.0,0.0,0.0,0.0,0.10259146154506543,0.14064441315331733,0.11304343408170626,0.11518149608931079,0.18264658218432028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.11534252571678705,0.0844097995545657,0.0,0.0,0.011953304625077805,0.024411440398057937,0.0,0.0,0.12326304873833391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1686349611660815,0.0,0.16689280868385345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07201743580024637,0.0,0.0,0.0956565090047984,0.0,0.0415296533075164,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.03563761543640359,0.04639404420130961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031148306859554727,0.02000899773959225,0.0,0.0,0.0,0.0,0.029465150790438696,0.05706949391203512,0.0397049185325184,0.04267219288276845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2767495482021562,0.0,0.06940526465138794,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.3872901678657074,0.0135379749247361,0.002697591006020601,0.0,0.0,0.06975458002073971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13874244567313873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058210986020585075,0.21171956749215207,0.0,0.0,0.0,0.0,0.0,0.0068486538940287665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024603982707105777,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.034284770651524965,0.0347898817731763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05770415275391448,0.0,0.0,0.0,0.0,0.0,0.0,0.04225601701195347,0.035480720696995635,0.0,0.0,0.0,0.0,0.03144584667083655,0.044810734697258346,0.029660564861528144,0.042750183835817905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05670266570965965,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.06397550111358574,0.0,0.0,0.004823876122607116,0.009185372727204226,0.0,0.0,0.09816799170411337,0.0,0.0,0.5979155238617663,0.0,0.0,0.0,0.0,0.0,0.0,0.1179651019906611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6015037593984962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971506105834464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14190277646166966,0.0,0.0,0.0,0.0,0.0,0.0,0.3091466530403679,0.0,0.0,0.0,0.0
