cluster_id,0% Greek Strained Yogurt,100% Whole Wheat Bread,2% Reduced Fat Milk,Apple Honeycrisp Organic,Baby Cucumbers,Bag of Organic Bananas,Banana,Beer,Blueberries,Clementines,Coke Classic,Cola,Crunchy Oats 'n Honey Granola Bars,Cucumber Kirby,Diet Coke,Distilled Water,Energy Drink,Extra Fancy Unsalted Mixed Nuts,Fat Free Milk,Fridge Pack Cola,Grapefruit Sparkling Water,Hass Avocados,India Pale Ale,Large Lemon,Limes,Michigan Organic Kale,Mineral Water,Mixed Fruit Fruit Snacks,Natural Spring Water,Organic 2% Reduced Fat Milk,Organic Avocado,Organic Baby Spinach,Organic Blueberries,Organic Fuji Apple,Organic Garlic,Organic Half & Half,Organic Hass Avocado,Organic Raspberries,Organic Strawberries,Organic Whole Milk,Organic Yellow Onion,Organic Zucchini,Original Nooks & Crannies English Muffins,Packaged Grape Tomatoes,Popcorn,Purified Water,Raspberries,"Select-A-Size Paper Towels, White, 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins",Smartwater,Soda,Sparkling Mineral Water,Sparkling Water,Sparkling Water Grapefruit,Spring Water,Strawberries,Sweet Kale Salad Mix,Trail Mix,Ultra Soft Facial Tissues,White Giant Paper Towel Rolls,Whole Milk,Zero Calorie Cola
0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,499.0,0.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3315.0,671.0,632.0,0.0,922.0,0.0,0.0,767.0,0.0,0.0,0.0,1512.0
1,0.0,0.0,0.0,0.0,0.0,17168.0,19680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133.0,6944.0,0.0,0.0,0.0,0.0,0.0,9879.0,14265.0,0.0,0.0,0.0,0.0,12529.0,0.0,11557.0,7037.0,6602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1670.0,2578.0,0.0,0.0,1765.0,9111.0,0.0,0.0,0.0,0.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2098.0,0.0,0.0,0.0,0.0,1366.0,0.0
3,0.0,0.0,0.0,0.0,0.0,7337.0,8040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2813.0,4023.0,0.0,0.0,0.0,0.0,2650.0,0.0,3522.0,2206.0,0.0,0.0,0.0,0.0,0.0,0.0,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3333.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,6912.0,0.0,23996.0,24437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8875.0,13347.0,0.0,0.0,0.0,0.0,16730.0,10188.0,22250.0,10338.0,6875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1581.0,1516.0,0.0,0.0,3764.0,9719.0,0.0,0.0,1783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1585.0,0.0,1845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520.0,0.0,0.0,1535.0,0.0,2488.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,11222.0,18471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3867.0,3647.0,0.0,0.0,0.0,0.0,4805.0,4134.0,7815.0,3830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4441.0,0.0,4158.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,969.0,4263.0,1074.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.0,1214.0,0.0,0.0,0.0,0.0,0.0,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1474.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,10796.0,13851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3560.0,0.0,0.0,0.0,0.0,0.0,0.0,5246.0,6467.0,0.0,0.0,0.0,0.0,5128.0,3246.0,5838.0,3837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3397.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,1149.0,0.0,0.0,1519.0,3657.0,0.0,0.0,1420.0,0.0,0.0,1090.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2995.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.0,0.0,0.0,0.0,0.0
